strategy,target,guessCount,duration,success
linear,2091,2091,0,TRUE
quadProb,2091,3001,0,FALSE
randSampling,421,2120,1,TRUE
linear,421,421,1,TRUE
quadProb,421,3001,0,FALSE
randSampling,1003,481,1,TRUE
linear,1003,1003,0,TRUE
quadProb,1003,3001,0,FALSE
randSampling,2454,415,1,TRUE
linear,2454,2454,2,TRUE
quadProb,2454,3001,0,FALSE
randSampling,2860,1514,1,TRUE
linear,2860,2860,1,TRUE
quadProb,2860,3001,0,FALSE
randSampling,2257,1178,1,TRUE
linear,2257,2257,1,TRUE
quadProb,2257,3001,0,FALSE
randSampling,1038,2966,1,TRUE
linear,1038,1038,0,TRUE
quadProb,1038,3001,0,FALSE
randSampling,757,613,1,TRUE
linear,757,757,0,TRUE
quadProb,757,3001,0,FALSE
randSampling,2274,231,1,TRUE
linear,2274,2274,0,TRUE
quadProb,2274,3001,0,FALSE
randSampling,2350,2894,1,TRUE
linear,2350,2350,0,TRUE
quadProb,2350,3001,0,FALSE
randSampling,2272,1283,4,TRUE
linear,2272,2272,1,TRUE
quadProb,2272,3001,0,FALSE
randSampling,1044,308,1,TRUE
linear,1044,1044,0,TRUE
quadProb,1044,3001,0,FALSE
randSampling,1523,1788,1,TRUE
linear,1523,1523,0,TRUE
quadProb,1523,3001,0,FALSE
randSampling,621,2420,2,TRUE
linear,621,621,1,TRUE
quadProb,621,3001,0,FALSE
randSampling,1916,2300,1,TRUE
linear,1916,1916,1,TRUE
quadProb,1916,475,1,TRUE
randSampling,2774,673,1,TRUE
linear,2774,2774,0,TRUE
quadProb,2774,47,0,TRUE
randSampling,181,1732,4,TRUE
linear,181,181,2,TRUE
quadProb,181,3001,0,FALSE
randSampling,1106,456,2,TRUE
linear,1106,1106,1,TRUE
quadProb,1106,3001,0,FALSE
randSampling,1685,1569,1,TRUE
linear,1685,1685,1,TRUE
quadProb,1685,3001,0,FALSE
randSampling,2396,1167,1,TRUE
linear,2396,2396,1,TRUE
quadProb,2396,3001,0,FALSE
randSampling,753,1356,1,TRUE
linear,753,753,0,TRUE
quadProb,753,3001,0,FALSE
randSampling,2685,1369,6,TRUE
linear,2685,2685,2,TRUE
quadProb,2685,3001,0,FALSE
randSampling,738,1191,1,TRUE
linear,738,738,1,TRUE
quadProb,738,3001,0,FALSE
randSampling,1858,143,1,TRUE
linear,1858,1858,0,TRUE
quadProb,1858,3001,0,FALSE
randSampling,1136,1558,1,TRUE
linear,1136,1136,3,TRUE
quadProb,1136,3001,0,FALSE
randSampling,407,2971,1,TRUE
linear,407,407,0,TRUE
quadProb,407,3001,0,FALSE
randSampling,1591,1378,1,TRUE
linear,1591,1591,0,TRUE
quadProb,1591,3001,0,FALSE
randSampling,2378,2100,2,TRUE
linear,2378,2378,1,TRUE
quadProb,2378,3001,0,FALSE
randSampling,2975,2762,1,TRUE
linear,2975,2975,0,TRUE
quadProb,2975,3001,0,FALSE
randSampling,2485,760,1,TRUE
linear,2485,2485,0,TRUE
quadProb,2485,3001,0,FALSE
randSampling,60,592,1,TRUE
linear,60,60,4,TRUE
quadProb,60,3001,0,FALSE
randSampling,2161,1681,1,TRUE
linear,2161,2161,1,TRUE
quadProb,2161,3001,0,FALSE
randSampling,1261,104,1,TRUE
linear,1261,1261,0,TRUE
quadProb,1261,3001,0,FALSE
randSampling,1427,484,1,TRUE
linear,1427,1427,0,TRUE
quadProb,1427,3001,0,FALSE
randSampling,2670,2604,1,TRUE
linear,2670,2670,0,TRUE
quadProb,2670,529,0,TRUE
randSampling,607,2788,1,TRUE
linear,607,607,2,TRUE
quadProb,607,3001,0,FALSE
randSampling,265,451,1,TRUE
linear,265,265,0,TRUE
quadProb,265,3001,0,FALSE
randSampling,1639,1873,1,TRUE
linear,1639,1639,0,TRUE
quadProb,1639,3001,0,FALSE
randSampling,1725,1337,2,TRUE
linear,1725,1725,1,TRUE
quadProb,1725,3001,0,FALSE
randSampling,2332,503,1,TRUE
linear,2332,2332,1,TRUE
quadProb,2332,3001,0,FALSE
randSampling,891,2275,1,TRUE
linear,891,891,0,TRUE
quadProb,891,3001,0,FALSE
randSampling,2256,2992,4,TRUE
linear,2256,2256,2,TRUE
quadProb,2256,3001,0,FALSE
randSampling,1434,1995,1,TRUE
linear,1434,1434,0,TRUE
quadProb,1434,100,0,TRUE
randSampling,2056,1138,1,TRUE
linear,2056,2056,6,TRUE
quadProb,2056,3001,0,FALSE
randSampling,1767,2453,1,TRUE
linear,1767,1767,0,TRUE
quadProb,1767,3001,0,FALSE
randSampling,1797,2743,1,TRUE
linear,1797,1797,3,TRUE
quadProb,1797,3001,0,FALSE
randSampling,1825,380,2,TRUE
linear,1825,1825,1,TRUE
quadProb,1825,3001,0,FALSE
randSampling,241,1972,1,TRUE
linear,241,241,1,TRUE
quadProb,241,3001,0,FALSE
randSampling,1970,145,1,TRUE
linear,1970,1970,0,TRUE
quadProb,1970,3001,0,FALSE
randSampling,2171,1246,1,TRUE
linear,2171,2171,1,TRUE
quadProb,2171,3001,0,FALSE
randSampling,2845,1881,1,TRUE
linear,2845,2845,0,TRUE
quadProb,2845,3001,0,FALSE
randSampling,2428,2876,1,TRUE
linear,2428,2428,0,TRUE
quadProb,2428,3001,0,FALSE
randSampling,916,2585,1,TRUE
linear,916,916,0,TRUE
quadProb,916,3001,0,FALSE
randSampling,557,341,1,TRUE
linear,557,557,0,TRUE
quadProb,557,3001,0,FALSE
randSampling,2748,2654,1,TRUE
linear,2748,2748,0,TRUE
quadProb,2748,3001,0,FALSE
randSampling,2620,1930,1,TRUE
linear,2620,2620,0,TRUE
quadProb,2620,265,0,TRUE
randSampling,627,2762,1,TRUE
linear,627,627,0,TRUE
quadProb,627,3001,0,FALSE
randSampling,2071,92,2,TRUE
linear,2071,2071,2,TRUE
quadProb,2071,3001,0,FALSE
randSampling,2351,1451,1,TRUE
linear,2351,2351,1,TRUE
quadProb,2351,3001,0,FALSE
randSampling,729,910,1,TRUE
linear,729,729,3,TRUE
quadProb,729,3001,0,FALSE
randSampling,866,2581,1,TRUE
linear,866,866,0,TRUE
quadProb,866,3001,0,FALSE
randSampling,678,2945,1,TRUE
linear,678,678,0,TRUE
quadProb,678,3001,0,FALSE
randSampling,1109,490,1,TRUE
linear,1109,1109,2,TRUE
quadProb,1109,3001,0,FALSE
randSampling,478,2786,1,TRUE
linear,478,478,1,TRUE
quadProb,478,3001,0,FALSE
randSampling,1746,2221,1,TRUE
linear,1746,1746,0,TRUE
quadProb,1746,3001,0,FALSE
randSampling,1974,784,1,TRUE
linear,1974,1974,0,TRUE
quadProb,1974,3001,0,FALSE
randSampling,131,1415,4,TRUE
linear,131,131,1,TRUE
quadProb,131,3001,0,FALSE
randSampling,1242,2597,1,TRUE
linear,1242,1242,0,TRUE
quadProb,1242,3001,0,FALSE
randSampling,1215,1633,1,TRUE
linear,1215,1215,0,TRUE
quadProb,1215,3001,0,FALSE
randSampling,889,692,1,TRUE
linear,889,889,1,TRUE
quadProb,889,3001,0,FALSE
randSampling,1674,938,1,TRUE
linear,1674,1674,1,TRUE
quadProb,1674,3001,0,FALSE
randSampling,1676,2973,1,TRUE
linear,1676,1676,0,TRUE
quadProb,1676,3001,0,FALSE
randSampling,2914,2949,1,TRUE
linear,2914,2914,1,TRUE
quadProb,2914,3001,0,FALSE
randSampling,1214,206,1,TRUE
linear,1214,1214,0,TRUE
quadProb,1214,3001,0,FALSE
randSampling,709,1253,1,TRUE
linear,709,709,0,TRUE
quadProb,709,3001,0,FALSE
randSampling,1841,2631,1,TRUE
linear,1841,1841,1,TRUE
quadProb,1841,142,1,TRUE
randSampling,1531,206,1,TRUE
linear,1531,1531,0,TRUE
quadProb,1531,3001,0,FALSE
randSampling,2527,65,1,TRUE
linear,2527,2527,0,TRUE
quadProb,2527,3001,0,FALSE
randSampling,251,1357,2,TRUE
linear,251,251,1,TRUE
quadProb,251,3001,0,FALSE
randSampling,1434,1268,1,TRUE
linear,1434,1434,0,TRUE
quadProb,1434,194,0,TRUE
randSampling,2938,2495,1,TRUE
linear,2938,2938,1,TRUE
quadProb,2938,3001,0,FALSE
randSampling,950,2425,1,TRUE
linear,950,950,0,TRUE
quadProb,950,583,1,TRUE
randSampling,744,690,1,TRUE
linear,744,744,0,TRUE
quadProb,744,3001,0,FALSE
randSampling,2382,1454,1,TRUE
linear,2382,2382,0,TRUE
quadProb,2382,3001,0,FALSE
randSampling,2280,2735,1,TRUE
linear,2280,2280,1,TRUE
quadProb,2280,3001,0,FALSE
randSampling,2853,1121,1,TRUE
linear,2853,2853,0,TRUE
quadProb,2853,3001,0,FALSE
randSampling,550,1039,1,TRUE
linear,550,550,1,TRUE
quadProb,550,3001,0,FALSE
randSampling,2666,773,1,TRUE
linear,2666,2666,1,TRUE
quadProb,2666,3001,0,FALSE
randSampling,258,1532,1,TRUE
linear,258,258,0,TRUE
quadProb,258,3001,0,FALSE
randSampling,2172,1840,1,TRUE
linear,2172,2172,1,TRUE
quadProb,2172,3001,0,FALSE
randSampling,1024,2736,1,TRUE
linear,1024,1024,0,TRUE
quadProb,1024,3001,0,FALSE
randSampling,1962,2461,1,TRUE
linear,1962,1962,0,TRUE
quadProb,1962,3001,0,FALSE
randSampling,492,1059,1,TRUE
linear,492,492,0,TRUE
quadProb,492,3001,0,FALSE
randSampling,2745,361,1,TRUE
linear,2745,2745,0,TRUE
quadProb,2745,3001,0,FALSE
randSampling,269,2701,1,TRUE
linear,269,269,0,TRUE
quadProb,269,3001,0,FALSE
randSampling,568,2627,1,TRUE
linear,568,568,0,TRUE
quadProb,568,3001,0,FALSE
randSampling,1149,1436,3,TRUE
linear,1149,1149,0,TRUE
quadProb,1149,3001,0,FALSE
randSampling,2326,644,1,TRUE
linear,2326,2326,1,TRUE
quadProb,2326,3001,0,FALSE
randSampling,2302,2264,1,TRUE
linear,2302,2302,0,TRUE
quadProb,2302,3001,0,FALSE
randSampling,1125,2838,1,TRUE
linear,1125,1125,3,TRUE
quadProb,1125,105,1,TRUE
randSampling,2857,1093,1,TRUE
linear,2857,2857,1,TRUE
quadProb,2857,3001,0,FALSE
randSampling,126,603,1,TRUE
linear,126,126,2,TRUE
quadProb,126,3001,0,FALSE
randSampling,436,453,1,TRUE
linear,436,436,1,TRUE
quadProb,436,3001,0,FALSE
randSampling,2828,257,1,TRUE
linear,2828,2828,1,TRUE
quadProb,2828,3001,0,FALSE
randSampling,1437,1062,1,TRUE
linear,1437,1437,2,TRUE
quadProb,1437,3001,0,FALSE
randSampling,175,2380,1,TRUE
linear,175,175,0,TRUE
quadProb,175,3001,0,FALSE
randSampling,970,721,1,TRUE
linear,970,970,1,TRUE
quadProb,970,3001,0,FALSE
randSampling,2421,2280,1,TRUE
linear,2421,2421,1,TRUE
quadProb,2421,375,1,TRUE
randSampling,2643,669,1,TRUE
linear,2643,2643,0,TRUE
quadProb,2643,3001,0,FALSE
randSampling,2853,1290,3,TRUE
linear,2853,2853,0,TRUE
quadProb,2853,3001,0,FALSE
randSampling,209,1838,1,TRUE
linear,209,209,0,TRUE
quadProb,209,3001,0,FALSE
randSampling,1012,2565,1,TRUE
