strategy,target,guessCount,duration,success
quadProb,2154,218,0,TRUE
randSampling,2240,264,1,TRUE
linear,2240,2240,0,TRUE
quadProb,2240,3001,0,FALSE
randSampling,619,1040,1,TRUE
linear,619,619,1,TRUE
quadProb,619,3001,0,FALSE
randSampling,777,1864,1,TRUE
linear,777,777,0,TRUE
quadProb,777,3001,0,FALSE
randSampling,1092,1276,1,TRUE
linear,1092,1092,1,TRUE
quadProb,1092,3001,0,FALSE
randSampling,1845,2593,1,TRUE
linear,1845,1845,1,TRUE
quadProb,1845,3001,0,FALSE
randSampling,1091,2851,2,TRUE
linear,1091,1091,1,TRUE
quadProb,1091,3001,0,FALSE
randSampling,658,94,2,TRUE
linear,658,658,1,TRUE
quadProb,658,3001,0,FALSE
randSampling,2655,2519,1,TRUE
linear,2655,2655,2,TRUE
quadProb,2655,3001,0,FALSE
randSampling,2767,918,1,TRUE
linear,2767,2767,1,TRUE
quadProb,2767,3001,0,FALSE
randSampling,2435,2483,1,TRUE
linear,2435,2435,2,TRUE
quadProb,2435,3001,0,FALSE
randSampling,1634,1047,2,TRUE
linear,1634,1634,1,TRUE
quadProb,1634,3001,0,FALSE
randSampling,18,1417,1,TRUE
linear,18,18,1,TRUE
quadProb,18,3001,0,FALSE
randSampling,1297,387,1,TRUE
linear,1297,1297,0,TRUE
quadProb,1297,3001,0,FALSE
randSampling,1203,2211,1,TRUE
linear,1203,1203,9,TRUE
quadProb,1203,3001,0,FALSE
randSampling,2997,201,1,TRUE
linear,2997,2997,3,TRUE
quadProb,2997,3001,0,FALSE
randSampling,760,1160,1,TRUE
linear,760,760,1,TRUE
quadProb,760,3001,0,FALSE
randSampling,517,538,1,TRUE
linear,517,517,0,TRUE
quadProb,517,3001,0,FALSE
randSampling,2721,2883,1,TRUE
linear,2721,2721,1,TRUE
quadProb,2721,1,0,TRUE
randSampling,2786,323,1,TRUE
linear,2786,2786,1,TRUE
quadProb,2786,3001,0,FALSE
randSampling,1218,1084,1,TRUE
linear,1218,1218,2,TRUE
quadProb,1218,3001,0,FALSE
randSampling,123,12,1,TRUE
linear,123,123,1,TRUE
quadProb,123,3001,0,FALSE
randSampling,59,504,1,TRUE
linear,59,59,1,TRUE
quadProb,59,3001,0,FALSE
randSampling,1532,1807,1,TRUE
linear,1532,1532,1,TRUE
quadProb,1532,3001,0,FALSE
randSampling,2285,974,1,TRUE
linear,2285,2285,0,TRUE
quadProb,2285,3001,0,FALSE
randSampling,1241,1442,1,TRUE
linear,1241,1241,0,TRUE
quadProb,1241,3001,0,FALSE
randSampling,1524,2431,1,TRUE
linear,1524,1524,1,TRUE
quadProb,1524,114,0,TRUE
randSampling,2871,1821,1,TRUE
linear,2871,2871,0,TRUE
quadProb,2871,3001,0,FALSE
randSampling,1569,2746,2,TRUE
linear,1569,1569,2,TRUE
quadProb,1569,3001,0,FALSE
randSampling,564,2540,1,TRUE
linear,564,564,1,TRUE
quadProb,564,3001,0,FALSE
randSampling,994,48,7,TRUE
linear,994,994,2,TRUE
quadProb,994,3001,0,FALSE
randSampling,2481,2738,3,TRUE
linear,2481,2481,1,TRUE
quadProb,2481,3001,0,FALSE
randSampling,1504,1421,1,TRUE
linear,1504,1504,1,TRUE
quadProb,1504,253,2,TRUE
randSampling,2097,1189,1,TRUE
linear,2097,2097,3,TRUE
quadProb,2097,42,2,TRUE
randSampling,793,1411,2,TRUE
linear,793,793,5,TRUE
quadProb,793,3001,0,FALSE
randSampling,755,2771,3,TRUE
linear,755,755,2,TRUE
quadProb,755,3001,0,FALSE
randSampling,2798,1500,3,TRUE
linear,2798,2798,2,TRUE
quadProb,2798,3001,0,FALSE
randSampling,2239,1970,8,TRUE
linear,2239,2239,2,TRUE
quadProb,2239,3001,0,FALSE
randSampling,1389,2983,4,TRUE
linear,1389,1389,3,TRUE
quadProb,1389,3001,0,FALSE
randSampling,2730,113,2,TRUE
linear,2730,2730,4,TRUE
quadProb,2730,72,4,TRUE
randSampling,2001,135,3,TRUE
linear,2001,2001,11,TRUE
quadProb,2001,3001,0,FALSE
randSampling,902,694,4,TRUE
linear,902,902,2,TRUE
quadProb,902,3001,0,FALSE
randSampling,2853,556,3,TRUE
linear,2853,2853,2,TRUE
quadProb,2853,3001,0,FALSE
randSampling,1076,53,1,TRUE
linear,1076,1076,0,TRUE
quadProb,1076,3001,0,FALSE
randSampling,984,173,6,TRUE
linear,984,984,1,TRUE
quadProb,984,3001,0,FALSE
randSampling,2782,2495,1,TRUE
linear,2782,2782,1,TRUE
quadProb,2782,505,0,TRUE
randSampling,2061,103,3,TRUE
linear,2061,2061,1,TRUE
quadProb,2061,297,0,TRUE
randSampling,973,2872,2,TRUE
linear,973,973,0,TRUE
quadProb,973,3001,0,FALSE
randSampling,2037,289,1,TRUE
linear,2037,2037,2,TRUE
quadProb,2037,655,2,TRUE
randSampling,1644,2830,1,TRUE
linear,1644,1644,1,TRUE
quadProb,1644,3001,0,FALSE
randSampling,1908,1878,1,TRUE
linear,1908,1908,1,TRUE
quadProb,1908,3001,0,FALSE
randSampling,2236,2391,1,TRUE
linear,2236,2236,1,TRUE
quadProb,2236,3001,0,FALSE
randSampling,1065,1720,1,TRUE
linear,1065,1065,0,TRUE
quadProb,1065,3001,0,FALSE
randSampling,380,1578,3,TRUE
linear,380,380,1,TRUE
quadProb,380,3001,0,FALSE
randSampling,1280,959,1,TRUE
linear,1280,1280,1,TRUE
quadProb,1280,3001,0,FALSE
randSampling,1004,396,1,TRUE
linear,1004,1004,1,TRUE
quadProb,1004,3001,0,FALSE
randSampling,2094,300,1,TRUE
linear,2094,2094,0,TRUE
quadProb,2094,3001,0,FALSE
randSampling,894,1120,1,TRUE
linear,894,894,1,TRUE
quadProb,894,3001,0,FALSE
randSampling,1981,2656,2,TRUE
linear,1981,1981,4,TRUE
quadProb,1981,82,0,TRUE
randSampling,1954,2439,1,TRUE
linear,1954,1954,0,TRUE
quadProb,1954,3001,0,FALSE
randSampling,2436,1279,1,TRUE
linear,2436,2436,0,TRUE
quadProb,2436,3001,0,FALSE
randSampling,607,250,1,TRUE
linear,607,607,0,TRUE
quadProb,607,59,0,TRUE
randSampling,718,1545,1,TRUE
linear,718,718,0,TRUE
quadProb,718,3001,0,FALSE
randSampling,306,1482,1,TRUE
linear,306,306,0,TRUE
quadProb,306,3001,0,FALSE
randSampling,2940,1180,1,TRUE
linear,2940,2940,1,TRUE
quadProb,2940,3001,0,FALSE
randSampling,82,1981,1,TRUE
linear,82,82,1,TRUE
quadProb,82,3001,0,FALSE
randSampling,1938,1620,5,TRUE
linear,1938,1938,1,TRUE
quadProb,1938,3001,0,FALSE
randSampling,968,438,1,TRUE
linear,968,968,1,TRUE
quadProb,968,3001,0,FALSE
randSampling,2997,2018,1,TRUE
linear,2997,2997,3,TRUE
quadProb,2997,3,1,TRUE
randSampling,2858,438,1,TRUE
linear,2858,2858,1,TRUE
quadProb,2858,3001,0,FALSE
randSampling,2891,2801,1,TRUE
linear,2891,2891,1,TRUE
quadProb,2891,3001,0,FALSE
randSampling,180,68,4,TRUE
linear,180,180,1,TRUE
quadProb,180,3001,0,FALSE
randSampling,1306,2073,1,TRUE
linear,1306,1306,1,TRUE
quadProb,1306,3001,0,FALSE
randSampling,1861,654,8,TRUE
linear,1861,1861,1,TRUE
quadProb,1861,3001,0,FALSE
randSampling,417,2404,1,TRUE
linear,417,417,1,TRUE
quadProb,417,3001,0,FALSE
randSampling,1851,2158,3,TRUE
linear,1851,1851,0,TRUE
quadProb,1851,3001,0,FALSE
randSampling,837,720,1,TRUE
linear,837,837,0,TRUE
quadProb,837,3001,0,FALSE
randSampling,2414,2297,2,TRUE
linear,2414,2414,2,TRUE
quadProb,2414,3001,0,FALSE
randSampling,1555,691,1,TRUE
linear,1555,1555,0,TRUE
quadProb,1555,3001,0,FALSE
randSampling,2346,2612,6,TRUE
linear,2346,2346,1,TRUE
quadProb,2346,3001,0,FALSE
randSampling,3,905,1,TRUE
linear,3,3,0,TRUE
quadProb,3,3001,0,FALSE
randSampling,1152,1757,1,TRUE
linear,1152,1152,1,TRUE
quadProb,1152,3001,0,FALSE
randSampling,123,2889,1,TRUE
linear,123,123,1,TRUE
quadProb,123,3001,0,FALSE
randSampling,2938,412,1,TRUE
linear,2938,2938,3,TRUE
quadProb,2938,3001,0,FALSE
randSampling,2027,2156,1,TRUE
linear,2027,2027,1,TRUE
quadProb,2027,3001,0,FALSE
randSampling,2528,720,1,TRUE
linear,2528,2528,1,TRUE
quadProb,2528,3001,0,FALSE
randSampling,2689,1452,6,TRUE
linear,2689,2689,0,TRUE
quadProb,2689,3001,0,FALSE
randSampling,817,2222,1,TRUE
linear,817,817,1,TRUE
quadProb,817,3001,0,FALSE
randSampling,2158,1003,1,TRUE
linear,2158,2158,1,TRUE
quadProb,2158,3001,0,FALSE
randSampling,1341,1132,1,TRUE
linear,1341,1341,0,TRUE
quadProb,1341,3001,0,FALSE
randSampling,2903,2529,1,TRUE
linear,2903,2903,1,TRUE
quadProb,2903,3001,0,FALSE
randSampling,1825,1051,1,TRUE
linear,1825,1825,0,TRUE
quadProb,1825,120,0,TRUE
randSampling,1912,2448,1,TRUE
linear,1912,1912,0,TRUE
quadProb,1912,245,0,TRUE
randSampling,1506,76,1,TRUE
linear,1506,1506,1,TRUE
quadProb,1506,3001,0,FALSE
randSampling,1096,2694,2,TRUE
linear,1096,1096,2,TRUE
quadProb,1096,3001,0,FALSE
randSampling,1492,2321,1,TRUE
linear,1492,1492,1,TRUE
quadProb,1492,3001,0,FALSE
randSampling,1192,423,1,TRUE
linear,1192,1192,1,TRUE
quadProb,1192,3001,0,FALSE
randSampling,2035,1729,1,TRUE
linear,2035,2035,1,TRUE
quadProb,2035,3001,0,FALSE
randSampling,254,2565,1,TRUE
linear,254,254,1,TRUE
quadProb,254,3001,0,FALSE
randSampling,1672,29,1,TRUE
linear,1672,1672,1,TRUE
quadProb,1672,3001,0,FALSE
randSampling,2498,2163,1,TRUE
linear,2498,2498,0,TRUE
quadProb,2498,3001,0,FALSE
randSampling,1642,1881,1,TRUE
linear,1642,1642,0,TRUE
quadProb,1642,3001,0,FALSE
randSampling,2319,2406,12,TRUE
linear,2319,2319,4,TRUE
quadProb,2319,3001,0,FALSE
randSampling,227,1619,2,TRUE
linear,227,227,2,TRUE
quadProb,227,3001,0,FALSE
randSampling,2152,761,4,TRUE
linear,2152,2152,4,TRUE
quadProb,2152,3001,0,FALSE
randSampling,1837,1456,8,TRUE
linear,1837,1837,2,TRUE
quadProb,1837,3001,0,FALSE
randSampling,1468,475,4,TRUE
linear,1468,1468,3,TRUE
quadProb,1468,79,1,TRUE
randSampling,1927,884,1,TRUE
linear,1927,1927,4,TRUE
quadProb,1927,3001,0,FALSE
randSampling,1464,1586,2,TRUE
linear,1464,1464,2,TRUE
quadProb,1464,3001,0,FALSE
randSampling,159,1575,2,TRUE
linear,159,159,2,TRUE
quadProb,159,3001,0,FALSE
randSampling,2061,489,4,TRUE
linear,2061,2061,3,TRUE
quadProb,2061,493,2,TRUE
randSampling,1240,168,1,TRUE
linear,1240,1240,2,TRUE
quadProb,1240,3001,0,FALSE
randSampling,367,928,1,TRUE
linear,367,367,0,TRUE
quadProb,367,3001,0,FALSE
randSampling,1998,502,2,TRUE
linear,1998,1998,1,TRUE
quadProb,1998,3001,0,FALSE
randSampling,1055,1446,1,TRUE
linear,1055,1055,1,TRUE
quadProb,1055,3001,0,FALSE
randSampling,1181,2095,1,TRUE
linear,1181,1181,0,TRUE
quadProb,1181,91,4,TRUE
randSampling,1961,252,1,TRUE
linear,1961,1961,1,TRUE
quadProb,1961,3001,0,FALSE
randSampling,2816,2246,1,TRUE
linear,2816,2816,1,TRUE
quadProb,2816,3001,0,FALSE
randSampling,323,369,1,TRUE
linear,323,323,0,TRUE
quadProb,323,3001,0,FALSE
randSampling,1594,1884,1,TRUE
linear,1594,1594,1,TRUE
quadProb,1594,190,1,TRUE
randSampling,2750,1135,1,TRUE
linear,2750,2750,1,TRUE
quadProb,2750,3001,0,FALSE
randSampling,2753,1123,1,TRUE
linear,2753,2753,0,TRUE
quadProb,2753,3001,0,FALSE
randSampling,1216,2092,1,TRUE
linear,1216,1216,0,TRUE
quadProb,1216,3001,0,FALSE
randSampling,826,211,1,TRUE
linear,826,826,2,TRUE
quadProb,826,3001,0,FALSE
randSampling,2563,1329,1,TRUE
linear,2563,2563,1,TRUE
quadProb,2563,3001,0,FALSE
randSampling,2216,1028,1,TRUE
linear,2216,2216,0,TRUE
quadProb,2216,3001,0,FALSE
randSampling,1161,2574,2,TRUE
linear,1161,1161,4,TRUE
quadProb,1161,3001,0,FALSE
randSampling,2125,2426,1,TRUE
linear,2125,2125,1,TRUE
quadProb,2125,3001,0,FALSE
randSampling,1890,2979,1,TRUE
linear,1890,1890,1,TRUE
quadProb,1890,3001,0,FALSE
randSampling,1732,1837,1,TRUE
linear,1732,1732,1,TRUE
quadProb,1732,3001,0,FALSE
randSampling,2566,1930,1,TRUE
linear,2566,2566,1,TRUE
quadProb,2566,3001,0,FALSE
randSampling,1957,1797,1,TRUE
linear,1957,1957,6,TRUE
quadProb,1957,3001,0,FALSE
randSampling,348,192,1,TRUE
linear,348,348,1,TRUE
quadProb,348,3001,0,FALSE
randSampling,843,1529,1,TRUE
linear,843,843,3,TRUE
quadProb,843,3001,0,FALSE
randSampling,2014,2130,1,TRUE
linear,2014,2014,1,TRUE
quadProb,2014,3001,0,FALSE
randSampling,1048,2725,1,TRUE
linear,1048,1048,0,TRUE
quadProb,1048,3001,0,FALSE
randSampling,1506,374,1,TRUE
linear,1506,1506,1,TRUE
quadProb,1506,3001,0,FALSE
randSampling,1092,1663,1,TRUE
linear,1092,1092,1,TRUE
quadProb,1092,3001,0,FALSE
randSampling,2068,2472,1,TRUE
linear,2068,2068,0,TRUE
quadProb,2068,3001,0,FALSE
randSampling,848,535,8,TRUE
linear,848,848,1,TRUE
quadProb,848,3001,0,FALSE
randSampling,2634,2317,1,TRUE
linear,2634,2634,3,TRUE
quadProb,2634,3001,0,FALSE
randSampling,1492,2063,1,TRUE
linear,1492,1492,1,TRUE
quadProb,1492,453,1,TRUE
randSampling,776,381,1,TRUE
linear,776,776,0,TRUE
quadProb,776,3001,0,FALSE
randSampling,858,520,1,TRUE
linear,858,858,2,TRUE
quadProb,858,155,1,TRUE
randSampling,2986,1412,1,TRUE
linear,2986,2986,0,TRUE
quadProb,2986,3001,0,FALSE
randSampling,740,1626,6,TRUE
linear,740,740,1,TRUE
quadProb,740,3001,0,FALSE
randSampling,2524,1263,1,TRUE
linear,2524,2524,1,TRUE
quadProb,2524,3001,0,FALSE
randSampling,317,2628,4,TRUE
linear,317,317,1,TRUE
quadProb,317,3001,0,FALSE
randSampling,614,2727,1,TRUE
linear,614,614,1,TRUE
quadProb,614,3001,0,FALSE
randSampling,2754,137,1,TRUE
linear,2754,2754,2,TRUE
quadProb,2754,3001,0,FALSE
randSampling,2610,2555,1,TRUE
linear,2610,2610,1,TRUE
quadProb,2610,3001,0,FALSE
randSampling,1343,1136,1,TRUE
linear,1343,1343,0,TRUE
quadProb,1343,3001,0,FALSE
randSampling,791,1995,1,TRUE
linear,791,791,5,TRUE
quadProb,791,3001,0,FALSE
randSampling,2163,1011,1,TRUE
linear,2163,2163,1,TRUE
quadProb,2163,3001,0,FALSE
randSampling,1209,2570,1,TRUE
linear,1209,1209,1,TRUE
quadProb,1209,3001,0,FALSE
randSampling,1780,652,1,TRUE
linear,1780,1780,1,TRUE
quadProb,1780,3001,0,FALSE
randSampling,2736,636,1,TRUE
linear,2736,2736,0,TRUE
quadProb,2736,3001,0,FALSE
randSampling,2252,245,1,TRUE
linear,2252,2252,2,TRUE
quadProb,2252,3001,0,FALSE
randSampling,2843,722,1,TRUE
linear,2843,2843,1,TRUE
quadProb,2843,3001,0,FALSE
randSampling,1390,1885,1,TRUE
linear,1390,1390,0,TRUE
quadProb,1390,3001,0,FALSE
randSampling,2916,2468,1,TRUE
linear,2916,2916,1,TRUE
quadProb,2916,3001,0,FALSE
randSampling,2924,1933,1,TRUE
linear,2924,2924,1,TRUE
quadProb,2924,3001,0,FALSE
randSampling,1776,1760,1,TRUE
linear,1776,1776,0,TRUE
quadProb,1776,3001,0,FALSE
randSampling,2858,462,1,TRUE
linear,2858,2858,0,TRUE
quadProb,2858,3001,0,FALSE
randSampling,1088,16,1,TRUE
linear,1088,1088,1,TRUE
quadProb,1088,3001,0,FALSE
randSampling,1016,1206,1,TRUE
linear,1016,1016,0,TRUE
quadProb,1016,164,3,TRUE
randSampling,1154,393,1,TRUE
linear,1154,1154,0,TRUE
quadProb,1154,217,1,TRUE
randSampling,122,599,1,TRUE
linear,122,122,1,TRUE
quadProb,122,279,1,TRUE
randSampling,843,519,6,TRUE
linear,843,843,1,TRUE
quadProb,843,3001,0,FALSE
randSampling,2664,1239,1,TRUE
linear,2664,2664,0,TRUE
quadProb,2664,565,1,TRUE
randSampling,943,1048,1,TRUE
linear,943,943,1,TRUE
quadProb,943,3001,0,FALSE
randSampling,878,2124,1,TRUE
linear,878,878,1,TRUE
quadProb,878,253,0,TRUE
randSampling,2222,1333,1,TRUE
linear,2222,2222,1,TRUE
quadProb,2222,3001,0,FALSE
randSampling,2257,546,1,TRUE
linear,2257,2257,0,TRUE
quadProb,2257,3001,0,FALSE
randSampling,2894,179,9,TRUE
linear,2894,2894,5,TRUE
quadProb,2894,3001,0,FALSE
randSampling,2126,2046,7,TRUE
linear,2126,2126,3,TRUE
quadProb,2126,3001,0,FALSE
randSampling,2030,1096,3,TRUE
linear,2030,2030,13,TRUE
quadProb,2030,3001,0,FALSE
randSampling,1458,1581,3,TRUE
linear,1458,1458,2,TRUE
quadProb,1458,3001,0,FALSE
randSampling,2709,117,4,TRUE
linear,2709,2709,3,TRUE
quadProb,2709,3001,0,FALSE
randSampling,1326,1281,3,TRUE
linear,1326,1326,2,TRUE
quadProb,1326,3001,0,FALSE
randSampling,2387,664,6,TRUE
linear,2387,2387,4,TRUE
quadProb,2387,3001,0,FALSE
randSampling,844,1768,1,TRUE
linear,844,844,1,TRUE
quadProb,844,3001,0,FALSE
randSampling,1283,1065,2,TRUE
linear,1283,1283,1,TRUE
quadProb,1283,3001,0,FALSE
randSampling,1627,1163,2,TRUE
linear,1627,1627,2,TRUE
quadProb,1627,3001,0,FALSE
randSampling,1703,2824,2,TRUE
linear,1703,1703,3,TRUE
quadProb,1703,218,5,TRUE
randSampling,639,1219,1,TRUE
linear,639,639,0,TRUE
quadProb,639,97,0,TRUE
randSampling,857,2707,1,TRUE
linear,857,857,2,TRUE
quadProb,857,3001,0,FALSE
randSampling,2277,922,1,TRUE
linear,2277,2277,1,TRUE
quadProb,2277,3001,0,FALSE
randSampling,1094,2998,1,TRUE
linear,1094,1094,1,TRUE
quadProb,1094,3001,0,FALSE
randSampling,1602,1199,1,TRUE
linear,1602,1602,1,TRUE
quadProb,1602,3001,0,FALSE
randSampling,1895,1086,1,TRUE
linear,1895,1895,1,TRUE
quadProb,1895,3001,0,FALSE
randSampling,939,1064,1,TRUE
linear,939,939,0,TRUE
quadProb,939,3001,0,FALSE
randSampling,390,1728,1,TRUE
linear,390,390,0,TRUE
quadProb,390,3001,0,FALSE
randSampling,2734,2518,1,TRUE
linear,2734,2734,1,TRUE
quadProb,2734,423,1,TRUE
randSampling,2588,1263,1,TRUE
linear,2588,2588,0,TRUE
quadProb,2588,3001,0,FALSE
randSampling,1743,2446,1,TRUE
linear,1743,1743,1,TRUE
quadProb,1743,3001,0,FALSE
randSampling,184,746,1,TRUE
linear,184,184,0,TRUE
quadProb,184,3001,0,FALSE
randSampling,1183,588,1,TRUE
linear,1183,1183,1,TRUE
quadProb,1183,3001,0,FALSE
randSampling,491,107,1,TRUE
linear,491,491,1,TRUE
quadProb,491,3001,0,FALSE
randSampling,2243,301,1,TRUE
linear,2243,2243,4,TRUE
quadProb,2243,3001,0,FALSE
randSampling,2145,2711,1,TRUE
linear,2145,2145,0,TRUE
quadProb,2145,104,1,TRUE
randSampling,2831,674,1,TRUE
linear,2831,2831,0,TRUE
quadProb,2831,3001,0,FALSE
randSampling,808,2368,1,TRUE
linear,808,808,2,TRUE
quadProb,808,3001,0,FALSE
randSampling,865,2283,1,TRUE
linear,865,865,0,TRUE
quadProb,865,3001,0,FALSE
randSampling,1250,505,1,TRUE
linear,1250,1250,6,TRUE
quadProb,1250,3001,0,FALSE
randSampling,2761,2749,1,TRUE
linear,2761,2761,1,TRUE
quadProb,2761,3001,0,FALSE
randSampling,1156,79,3,TRUE
linear,1156,1156,1,TRUE
quadProb,1156,3001,0,FALSE
randSampling,1608,1140,1,TRUE
linear,1608,1608,1,TRUE
quadProb,1608,3001,0,FALSE
randSampling,1154,1895,1,TRUE
linear,1154,1154,2,TRUE
quadProb,1154,727,0,TRUE
randSampling,2610,2443,1,TRUE
linear,2610,2610,0,TRUE
quadProb,2610,3001,0,FALSE
randSampling,2714,2351,1,TRUE
linear,2714,2714,0,TRUE
quadProb,2714,3001,0,FALSE
randSampling,1442,2215,3,TRUE
linear,1442,1442,3,TRUE
quadProb,1442,3001,0,FALSE
randSampling,655,171,1,TRUE
linear,655,655,1,TRUE
quadProb,655,3001,0,FALSE
randSampling,931,1516,2,TRUE
linear,931,931,1,TRUE
quadProb,931,3001,0,FALSE
randSampling,2912,252,1,TRUE
linear,2912,2912,0,TRUE
quadProb,2912,3001,0,FALSE
randSampling,681,2202,1,TRUE
linear,681,681,0,TRUE
quadProb,681,3001,0,FALSE
randSampling,1677,2979,1,TRUE
linear,1677,1677,1,TRUE
quadProb,1677,3001,0,FALSE
randSampling,328,2942,1,TRUE
linear,328,328,0,TRUE
quadProb,328,3001,0,FALSE
randSampling,43,1602,1,TRUE
linear,43,43,1,TRUE
quadProb,43,3001,0,FALSE
randSampling,1341,1772,5,TRUE
linear,1341,1341,1,TRUE
quadProb,1341,3001,0,FALSE
randSampling,694,1775,1,TRUE
linear,694,694,0,TRUE
quadProb,694,3001,0,FALSE
randSampling,1346,83,1,TRUE
linear,1346,1346,2,TRUE
quadProb,1346,3001,0,FALSE
randSampling,912,343,1,TRUE
linear,912,912,1,TRUE
quadProb,912,3001,0,FALSE
randSampling,857,2219,1,TRUE
linear,857,857,0,TRUE
quadProb,857,607,0,TRUE
randSampling,2725,1560,5,TRUE
linear,2725,2725,1,TRUE
quadProb,2725,3001,0,FALSE
randSampling,1554,2614,1,TRUE
linear,1554,1554,0,TRUE
quadProb,1554,34,0,TRUE
randSampling,133,2148,1,TRUE
linear,133,133,0,TRUE
quadProb,133,3001,0,FALSE
randSampling,2819,2536,1,TRUE
linear,2819,2819,0,TRUE
quadProb,2819,3001,0,FALSE
randSampling,961,1829,1,TRUE
linear,961,961,0,TRUE
quadProb,961,17,0,TRUE
randSampling,2549,2688,1,TRUE
linear,2549,2549,5,TRUE
quadProb,2549,3001,0,FALSE
randSampling,2809,5,1,TRUE
linear,2809,2809,0,TRUE
quadProb,2809,3001,0,FALSE
randSampling,2933,1912,1,TRUE
linear,2933,2933,0,TRUE
quadProb,2933,477,1,TRUE
randSampling,2756,2293,1,TRUE
linear,2756,2756,1,TRUE
quadProb,2756,3001,0,FALSE
randSampling,541,217,2,TRUE
linear,541,541,0,TRUE
quadProb,541,3001,0,FALSE
randSampling,1855,2691,12,TRUE
linear,1855,1855,1,TRUE
quadProb,1855,175,6,TRUE
randSampling,1431,2535,2,TRUE
linear,1431,1431,2,TRUE
quadProb,1431,625,1,TRUE
randSampling,557,1066,5,TRUE
linear,557,557,3,TRUE
quadProb,557,3001,0,FALSE
randSampling,1910,1071,1,TRUE
linear,1910,1910,1,TRUE
quadProb,1910,3001,0,FALSE
randSampling,2198,1785,12,TRUE
linear,2198,2198,5,TRUE
quadProb,2198,3001,0,FALSE
randSampling,2097,1323,3,TRUE
linear,2097,2097,5,TRUE
quadProb,2097,67,3,TRUE
randSampling,1718,426,3,TRUE
linear,1718,1718,3,TRUE
quadProb,1718,3001,0,FALSE
randSampling,515,1087,2,TRUE
linear,515,515,3,TRUE
quadProb,515,3001,0,FALSE
randSampling,879,2169,3,TRUE
linear,879,879,2,TRUE
quadProb,879,3001,0,FALSE
randSampling,2331,1107,3,TRUE
linear,2331,2331,2,TRUE
quadProb,2331,3001,0,FALSE
randSampling,1289,904,2,TRUE
linear,1289,1289,1,TRUE
quadProb,1289,3001,0,FALSE
randSampling,2079,959,1,TRUE
linear,2079,2079,3,TRUE
quadProb,2079,20,1,TRUE
randSampling,852,1642,2,TRUE
linear,852,852,2,TRUE
quadProb,852,3001,0,FALSE
randSampling,2642,1317,1,TRUE
linear,2642,2642,2,TRUE
quadProb,2642,3001,0,FALSE
randSampling,59,1733,1,TRUE
linear,59,59,1,TRUE
quadProb,59,3001,0,FALSE
randSampling,1121,930,1,TRUE
linear,1121,1121,1,TRUE
quadProb,1121,3001,0,FALSE
randSampling,16,2286,1,TRUE
linear,16,16,1,TRUE
quadProb,16,3001,0,FALSE
randSampling,506,1481,1,TRUE
linear,506,506,0,TRUE
quadProb,506,310,0,TRUE
randSampling,1663,358,1,TRUE
linear,1663,1663,6,TRUE
quadProb,1663,3001,0,FALSE
randSampling,136,11,1,TRUE
linear,136,136,1,TRUE
quadProb,136,239,1,TRUE
randSampling,2447,2172,1,TRUE
linear,2447,2447,3,TRUE
quadProb,2447,3001,0,FALSE
randSampling,328,40,1,TRUE
linear,328,328,1,TRUE
quadProb,328,3001,0,FALSE
randSampling,2535,1927,1,TRUE
linear,2535,2535,0,TRUE
quadProb,2535,3001,0,FALSE
randSampling,2153,832,7,TRUE
linear,2153,2153,1,TRUE
quadProb,2153,3001,0,FALSE
randSampling,1131,2996,1,TRUE
linear,1131,1131,1,TRUE
quadProb,1131,3001,0,FALSE
randSampling,1149,2374,1,TRUE
linear,1149,1149,2,TRUE
quadProb,1149,3001,0,FALSE
randSampling,2557,2587,1,TRUE
linear,2557,2557,0,TRUE
quadProb,2557,3001,0,FALSE
randSampling,1990,2831,1,TRUE
linear,1990,1990,0,TRUE
quadProb,1990,3001,0,FALSE
randSampling,1611,738,1,TRUE
linear,1611,1611,1,TRUE
quadProb,1611,3001,0,FALSE
randSampling,2456,1566,1,TRUE
linear,2456,2456,2,TRUE
quadProb,2456,3001,0,FALSE
randSampling,837,2584,1,TRUE
linear,837,837,1,TRUE
quadProb,837,3001,0,FALSE
randSampling,216,62,1,TRUE
linear,216,216,1,TRUE
quadProb,216,3001,0,FALSE
randSampling,835,1769,1,TRUE
linear,835,835,3,TRUE
quadProb,835,3001,0,FALSE
randSampling,2256,868,1,TRUE
linear,2256,2256,1,TRUE
quadProb,2256,57,1,TRUE
randSampling,913,2138,1,TRUE
linear,913,913,0,TRUE
quadProb,913,3001,0,FALSE
randSampling,1732,1750,1,TRUE
linear,1732,1732,1,TRUE
quadProb,1732,183,1,TRUE
randSampling,2275,179,1,TRUE
linear,2275,2275,1,TRUE
quadProb,2275,3001,0,FALSE
randSampling,177,549,2,TRUE
linear,177,177,0,TRUE
quadProb,177,3001,0,FALSE
randSampling,244,1261,1,TRUE
linear,244,244,1,TRUE
quadProb,244,3001,0,FALSE
randSampling,2393,1014,7,TRUE
linear,2393,2393,1,TRUE
quadProb,2393,3001,0,FALSE
randSampling,2633,205,1,TRUE
linear,2633,2633,1,TRUE
quadProb,2633,3001,0,FALSE
randSampling,905,18,1,TRUE
linear,905,905,0,TRUE
quadProb,905,3001,0,FALSE
randSampling,1049,1338,1,TRUE
linear,1049,1049,0,TRUE
quadProb,1049,3001,0,FALSE
randSampling,103,1487,1,TRUE
linear,103,103,3,TRUE
quadProb,103,163,1,TRUE
randSampling,1821,393,1,TRUE
linear,1821,1821,0,TRUE
